                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1637,                 5.1325,                 4.3471,                 4.0231,                 16.886,                 4.4517,                0.00022,                0.06667,                0.00012,                  4e-05,                 3.7972,                 5.4337,                 4.1567,                 3.6733,                 21.994,                 4.1571,                0.00014,                0.00014,                0.00014
                      2,                 4.0851,                 5.0006,                 4.2538,                 3.9417,                 15.632,                 4.4005,                0.00028,                0.08333,                0.00016,                  5e-05,                 3.7927,                 5.4261,                 4.1539,                 3.6692,                 21.938,                 4.1553,             0.00029851,             0.00029851,             0.00029851
                      3,                 3.8178,                 4.7399,                 4.1468,                 3.6415,                 13.991,                  4.253,                0.00028,                0.08333,                0.00016,                  5e-05,                 3.7856,                 5.4062,                 4.1502,                 3.6671,                 21.802,                 4.1539,             0.00045545,             0.00045545,             0.00045545
                      4,                  3.702,                 4.6537,                 3.9477,                 3.5078,                 12.491,                  4.097,                0.00028,                0.08333,                0.00018,                  5e-05,                 3.7759,                 5.3733,                 4.1454,                 3.6671,                 21.497,                 4.1521,             0.00061079,             0.00061079,             0.00061079
                      5,                 3.3852,                 4.4514,                 3.6929,                 2.9976,                 10.767,                 3.7845,                0.00028,                0.08333,                0.00015,                  4e-05,                 3.7871,                 5.3287,                 4.1505,                 3.6814,                 20.989,                 4.1552,             0.00076456,             0.00076456,             0.00076456
                      6,                 3.0314,                 4.1265,                 3.4578,                 2.6725,                 9.4299,                 3.5305,                  6e-05,                0.01667,                  3e-05,                      0,                 3.8699,                 5.2912,                 4.2181,                 3.7413,                 20.279,                 4.1936,             0.00091674,             0.00091674,             0.00091674
                      7,                 2.9542,                 3.8114,                 3.3476,                 2.5302,                 8.1556,                 3.2574,                0.00022,                0.06667,                0.00012,                  1e-05,                 3.6774,                 5.1015,                 4.0888,                 3.6626,                 18.571,                 4.1566,              0.0010673,              0.0010673,              0.0010673
                      8,                 2.9502,                 3.6528,                 3.3271,                  2.548,                 7.4843,                 3.2328,                0.00011,                0.03333,                  6e-05,                  1e-05,                 3.4277,                  4.891,                 3.9444,                  3.542,                 16.367,                 4.1153,              0.0012163,              0.0012163,              0.0012163
                      9,                 2.8069,                  3.364,                 3.1281,                 2.3378,                 6.5971,                 2.8996,                0.00028,                0.08333,                0.00015,                  3e-05,                 3.3436,                 4.7528,                 3.8986,                 3.4756,                 14.434,                  4.106,              0.0013638,              0.0013638,              0.0013638
                     10,                 2.7011,                 3.1221,                 3.0275,                 2.2291,                 5.6297,                 2.7494,                0.00028,                0.08333,                0.00017,                  4e-05,                 2.8559,                 4.9498,                 3.5371,                 2.4622,                 11.946,                 3.2414,              0.0015096,              0.0015096,              0.0015096
                     11,                 2.5309,                 2.9794,                 2.9158,                 2.1023,                 5.2835,                 2.5954,                0.00039,                0.11667,                0.00022,                  7e-05,                 2.9716,                 4.6468,                 3.5554,                 2.6129,                 10.096,                 3.2871,              0.0016539,              0.0016539,              0.0016539
